# P237C
| Shade | Hex     | RGB             | HSV               |
| ----- | ------- | --------------- | ----------------- |
| 35    | #FBD5FF | (251, 213, 255) | (292°, 16%, 100%) |
| 55    | #F8B9FF | (248, 185, 255) | (292°, 27%, 100%) |
| 70    | #F3A0FF | (243, 160, 255) | (291°, 37%, 100%) |
| 85    | #EC88FF | (236, 136, 255) | (290°, 47%, 100%) |
| 100   | #E578FF | (229, 120, 255) | (289°, 53%, 100%) |

# P218C
| Shade | Hex     | RGB             | HSV               |
| ----- | ------- | --------------- | ----------------- |
| 70    | #F17AFF | (241, 122, 255) | (289°, 52%, 100%) |
| 80    | #EC6AFF | (236, 106, 255) | (288°, 58%, 100%) |
| 90    | #E75BFF | (231, 91, 255)  | (287°, 64%, 100%) |
| 100   | #E14BFF | (225, 75, 255)  | (286°, 71%, 100%) |

# P310C
| Shade | Hex     | RGB             | HSV               |
| ----- | ------- | --------------- | ----------------- |
| 35    | #C3FFED | (195, 255, 237) | (163°, 24%, 100%) |
| 50    | #ACFFE8 | (172, 255, 232) | (163°, 33%, 100%) |
| 65    | #98FFE1 | (152, 255, 225) | (163°, 40%, 100%) |

# P298C
| Shade | Hex     | RGB             | HSV              |
| ----- | ------- | --------------- | ---------------- |
| 65    | #88E9F1 | (136, 233, 241) | (186°, 44%, 95%) |
| 85    | #6AE1EE | (106, 225, 238) | (186°, 55%, 93%) |
| 100   | #52DAEC | (82, 218, 236)  | (187°, 65%, 93%) |

# P301C
| Shade | Hex     | RGB            | HSV              |
| ----- | ------- | -------------- | ---------------- |
| 65    | #468FCD | (70, 143, 205) | (206°, 66%, 80%)  |
| 80    | #216EC3 | (33, 110, 195) | (212°, 83%, 76%)  |
| 100   | #003E98 | (0, 62, 152)   | (220°, 100%, 60%) |

