epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6266,2.67313,3.7259,2.60323,0.96907,0.2,0.199,0.1791,3.64375,3.82088,3.07243,0,0,0
2,54.4682,2.76284,3.82003,2.55388,0.98411,0.2,0.199,0.1592,3.41127,3.75392,2.96509,9.00001e-06,9.00001e-06,9.00001e-06
3,63.5177,2.70723,3.63554,2.53528,0.98724,0.2,0.199,0.1393,3.13008,3.66458,2.76895,1.782e-05,1.782e-05,1.782e-05
4,72.7754,2.63039,3.58416,2.36517,0.98644,0.2,0.21833,0.14586,2.74296,3.54335,2.3845,2.64601e-05,2.64601e-05,2.64601e-05
5,81.7842,2.46595,3.36074,2.22987,0.9787,0.2,0.24732,0.15729,2.28733,3.31975,2.0477,3.49201e-05,3.49201e-05,3.49201e-05
6,92.7236,2.15869,2.98646,2.10557,0.94273,0.2,0.39978,0.24312,1.97535,2.63943,1.75366,4.32002e-05,4.32002e-05,4.32002e-05
7,102.269,2.15483,2.88701,2.09609,0.74192,0.29526,0.49659,0.29605,1.71638,1.63647,1.45123,5.13003e-05,5.13003e-05,5.13003e-05
8,111.073,2.07141,2.66312,2.10491,0.64989,0.4841,0.55967,0.34357,1.57033,1.93138,1.32061,5.92204e-05,5.92204e-05,5.92204e-05
9,122.252,2.02628,2.71302,2.05409,0.41287,0.54374,0.58067,0.34049,1.51349,2.16885,1.26689,6.69606e-05,6.69606e-05,6.69606e-05
10,130.816,1.5612,1.99471,1.58288,0.35167,0.46125,0.42136,0.24175,1.55048,2.25906,1.27811,7.45207e-05,7.45207e-05,7.45207e-05
11,140.491,1.78161,2.34066,1.90518,0.77783,0.37899,0.45685,0.24677,1.55489,1.95824,1.27162,8.19009e-05,8.19009e-05,8.19009e-05
12,150.424,1.56179,1.82872,1.63095,0.79124,0.36454,0.48051,0.27092,1.53405,1.93937,1.25592,8.91011e-05,8.91011e-05,8.91011e-05
13,159.309,1.58463,1.72722,1.59791,0.30526,0.44444,0.46325,0.26341,1.55381,2.18354,1.25958,9.61213e-05,9.61213e-05,9.61213e-05
14,168.658,1.7132,1.72256,1.65015,0.41321,0.71554,0.61981,0.22644,1.89886,3.01731,1.39843,0.000102962,0.000102962,0.000102962
15,177.636,1.72655,1.91456,1.80581,0.32823,0.63824,0.608,0.27903,1.83818,2.77509,1.36868,0.000109622,0.000109622,0.000109622
16,187.585,1.59576,1.59673,1.62232,0.33267,0.79849,0.67091,0.39364,1.58655,2.00557,1.26419,0.000116102,0.000116102,0.000116102
17,196.936,1.46946,1.53874,1.52723,0.49226,0.78183,0.74744,0.47996,1.477,1.80809,1.18516,0.000122402,0.000122402,0.000122402
18,206.99,1.52426,1.62546,1.66332,0.49226,0.78183,0.74744,0.47996,1.477,1.80809,1.18516,0.000128523,0.000128523,0.000128523
19,217.591,1.41991,1.38716,1.52733,0.53886,0.78889,0.77862,0.5023,1.49372,2.23544,1.17665,0.000134463,0.000134463,0.000134463
20,228.144,1.527,1.53203,1.60815,0.53886,0.78889,0.77862,0.5023,1.49372,2.23544,1.17665,0.000140223,0.000140223,0.000140223
21,239.295,1.49338,1.41192,1.56684,0.53851,0.77993,0.77385,0.48434,1.57446,2.64584,1.2257,0.000145804,0.000145804,0.000145804
22,248.351,1.48292,1.39545,1.60728,0.53851,0.77993,0.77385,0.48434,1.57446,2.64584,1.2257,0.000151204,0.000151204,0.000151204
23,257.715,1.23271,1.24618,1.36157,0.50625,1,0.96989,0.57647,1.7557,2.69234,1.36106,0.000156424,0.000156424,0.000156424
24,267.027,1.38697,1.26219,1.46117,0.50625,1,0.96989,0.57647,1.7557,2.69234,1.36106,0.000161465,0.000161465,0.000161465
25,276.681,1.39415,1.21794,1.49229,0.69045,0.98889,0.97738,0.57321,1.76179,2.7846,1.37071,0.000166325,0.000166325,0.000166325
26,287.041,1.42609,1.21781,1.48848,0.69045,0.98889,0.97738,0.57321,1.76179,2.7846,1.37071,0.000171006,0.000171006,0.000171006
27,300.805,1.36254,1.24041,1.46717,0.6241,0.92933,0.90007,0.59289,1.61952,2.24472,1.29456,0.000175506,0.000175506,0.000175506
28,319.136,1.45209,1.49264,1.61592,0.6241,0.92933,0.90007,0.59289,1.61952,2.24472,1.29456,0.000179827,0.000179827,0.000179827
29,330.189,1.26979,1.08894,1.40185,0.69694,0.8,0.82309,0.57152,1.46141,1.59848,1.21839,0.000183967,0.000183967,0.000183967
30,338.879,1.26955,1.21381,1.43702,0.69694,0.8,0.82309,0.57152,1.46141,1.59848,1.21839,0.000187928,0.000187928,0.000187928
31,348.283,1.28956,1.12104,1.38831,0.79827,0.81227,0.90214,0.66266,1.34018,1.46397,1.14877,0.000191708,0.000191708,0.000191708
32,357.076,1.21304,1.08305,1.29013,0.79827,0.81227,0.90214,0.66266,1.34018,1.46397,1.14877,0.000195309,0.000195309,0.000195309
33,367.446,1.22063,1.10925,1.4186,0.9057,1,0.995,0.73853,1.36355,1.65594,1.1638,0.000198729,0.000198729,0.000198729
34,375.227,1.19408,0.98233,1.32928,0.9057,1,0.995,0.73853,1.36355,1.65594,1.1638,0.00020197,0.00020197,0.00020197
35,384.731,1.18829,1.05197,1.38501,0.87692,1,0.995,0.72972,1.33972,1.667,1.17451,0.00020503,0.00020503,0.00020503
36,392.759,1.22002,1.05035,1.37399,0.87692,1,0.995,0.72972,1.33972,1.667,1.17451,0.000207911,0.000207911,0.000207911
37,401.802,1.22832,1.13873,1.39444,0.71894,1,0.98578,0.71294,1.17982,1.33792,1.09461,0.000210612,0.000210612,0.000210612
38,411.354,1.35933,1.23252,1.54707,0.71894,1,0.98578,0.71294,1.17982,1.33792,1.09461,0.000213132,0.000213132,0.000213132
39,421.64,1.28089,1.13149,1.41869,0.66828,0.90308,0.89419,0.68618,1.12368,1.50055,1.09291,0.000215473,0.000215473,0.000215473
40,430.93,1.18502,0.95771,1.33718,0.66828,0.90308,0.89419,0.68618,1.12368,1.50055,1.09291,0.000217634,0.000217634,0.000217634
41,441.453,1.26043,1.11818,1.47049,0.83979,0.94444,0.94026,0.65569,1.15992,1.33798,1.10065,0.000219614,0.000219614,0.000219614
42,450.409,1.36572,1.21196,1.53956,0.83979,0.94444,0.94026,0.65569,1.15992,1.33798,1.10065,0.000221415,0.000221415,0.000221415
43,460.317,1.24585,1.12362,1.47399,0.83259,0.89655,0.89934,0.68139,1.19858,1.28486,1.08685,0.000223036,0.000223036,0.000223036
44,469.461,1.13933,1.11637,1.30733,0.83259,0.89655,0.89934,0.68139,1.19858,1.28486,1.08685,0.000224477,0.000224477,0.000224477
45,479.475,1.18986,1.05795,1.41718,0.83874,0.95556,0.98364,0.69611,1.27072,1.00819,1.12215,0.000225737,0.000225737,0.000225737
46,487.891,1.14978,0.94312,1.29945,0.83874,0.95556,0.98364,0.69611,1.27072,1.00819,1.12215,0.000226818,0.000226818,0.000226818
47,498.211,1.36221,1.12284,1.50461,0.91276,0.94982,0.99278,0.70502,1.24166,1.0097,1.10046,0.000227719,0.000227719,0.000227719
48,507.062,1.18365,1.02669,1.34439,0.91276,0.94982,0.99278,0.70502,1.24166,1.0097,1.10046,0.00022844,0.00022844,0.00022844
49,516.096,1.12045,0.92438,1.3055,0.90498,0.94501,0.98974,0.70991,1.16976,0.97538,1.08153,0.000228981,0.000228981,0.000228981
50,524.766,1.11913,0.91207,1.31098,0.90498,0.94501,0.98974,0.70991,1.16976,0.97538,1.08153,0.000229342,0.000229342,0.000229342
51,535.872,1.1034,0.85269,1.30821,0.82696,0.92467,0.96934,0.7066,1.11025,0.97489,1.05279,0.000229523,0.000229523,0.000229523
52,545.631,1.1351,0.91304,1.28657,0.82696,0.92467,0.96934,0.7066,1.11025,0.97489,1.05279,0.000229523,0.000229523,0.000229523
53,554.23,1.10616,0.94046,1.33323,0.82696,0.92467,0.96934,0.7066,1.11025,0.97489,1.05279,0.000229344,0.000229344,0.000229344
54,563.499,1.14449,0.93697,1.30956,0.77549,0.8,0.89144,0.69636,1.07357,1.07449,1.04897,0.000228985,0.000228985,0.000228985
55,572.9,1.00916,0.82477,1.21217,0.77549,0.8,0.89144,0.69636,1.07357,1.07449,1.04897,0.000228446,0.000228446,0.000228446
56,583.495,1.11133,0.92679,1.29844,0.77549,0.8,0.89144,0.69636,1.07357,1.07449,1.04897,0.000227727,0.000227727,0.000227727
57,593.695,1.08154,0.90613,1.32771,0.77402,0.8,0.82489,0.65804,1.12443,1.24985,1.10849,0.000226828,0.000226828,0.000226828
58,603.575,1.18601,1.00256,1.37664,0.77402,0.8,0.82489,0.65804,1.12443,1.24985,1.10849,0.000225749,0.000225749,0.000225749
59,612.709,0.99688,0.83315,1.23486,0.77402,0.8,0.82489,0.65804,1.12443,1.24985,1.10849,0.00022449,0.00022449,0.00022449
60,623.837,1.02408,0.83438,1.23712,0.77527,0.8,0.81246,0.61901,1.30058,1.32081,1.2038,0.000223051,0.000223051,0.000223051
61,634.865,1.08269,0.87934,1.36656,0.77527,0.8,0.81246,0.61901,1.30058,1.32081,1.2038,0.000221432,0.000221432,0.000221432
62,643.704,1.03319,0.82515,1.24347,0.77527,0.8,0.81246,0.61901,1.30058,1.32081,1.2038,0.000219633,0.000219633,0.000219633
63,653.26,1.18402,0.97583,1.42187,0.78068,0.8,0.81336,0.62272,1.26521,1.34249,1.17333,0.000217655,0.000217655,0.000217655
64,664.388,1.19879,1.00741,1.4327,0.78068,0.8,0.81336,0.62272,1.26521,1.34249,1.17333,0.000215496,0.000215496,0.000215496
65,674.072,1.08935,0.95137,1.34376,0.78068,0.8,0.81336,0.62272,1.26521,1.34249,1.17333,0.000213157,0.000213157,0.000213157
66,686.167,1.09157,0.95303,1.39014,0.77952,0.8,0.81227,0.6014,1.24754,1.36734,1.1649,0.000210638,0.000210638,0.000210638
67,695.766,1.08693,0.87315,1.22146,0.77952,0.8,0.81227,0.6014,1.24754,1.36734,1.1649,0.000207939,0.000207939,0.000207939
68,705.849,1.0545,0.9048,1.33013,0.77952,0.8,0.81227,0.6014,1.24754,1.36734,1.1649,0.00020506,0.00020506,0.00020506
69,717.318,1.18141,0.89883,1.34253,0.77107,0.8,0.83679,0.64586,1.06568,1.15609,1.05437,0.000202002,0.000202002,0.000202002
70,728.394,1.07634,0.85318,1.28724,0.77107,0.8,0.83679,0.64586,1.06568,1.15609,1.05437,0.000198763,0.000198763,0.000198763
71,738.024,1.05352,0.85983,1.27766,0.77107,0.8,0.83679,0.64586,1.06568,1.15609,1.05437,0.000195344,0.000195344,0.000195344
72,748.394,1.10472,0.89727,1.33347,0.77459,0.8,0.85054,0.65871,1.0462,0.99654,1.04591,0.000191745,0.000191745,0.000191745
73,757.59,1.0531,0.87034,1.29325,0.77459,0.8,0.85054,0.65871,1.0462,0.99654,1.04591,0.000187967,0.000187967,0.000187967
74,765.941,1.0613,0.8508,1.28434,0.77459,0.8,0.85054,0.65871,1.0462,0.99654,1.04591,0.000184008,0.000184008,0.000184008
75,776.279,1.0396,0.82036,1.26209,0.77465,0.79751,0.86174,0.64212,1.15789,0.98926,1.11847,0.000179869,0.000179869,0.000179869
76,787.381,1.00312,0.82749,1.26029,0.77465,0.79751,0.86174,0.64212,1.15789,0.98926,1.11847,0.000175551,0.000175551,0.000175551
77,795.655,1.03353,0.85281,1.31825,0.77465,0.79751,0.86174,0.64212,1.15789,0.98926,1.11847,0.000171052,0.000171052,0.000171052
78,805.525,0.93856,0.77932,1.19305,0.77632,0.79769,0.87751,0.6418,1.22019,0.98903,1.16234,0.000166373,0.000166373,0.000166373
79,815.368,0.97481,0.74565,1.20739,0.77632,0.79769,0.87751,0.6418,1.22019,0.98903,1.16234,0.000161515,0.000161515,0.000161515
80,823.401,0.96752,0.79596,1.27882,0.77632,0.79769,0.87751,0.6418,1.22019,0.98903,1.16234,0.000156476,0.000156476,0.000156476
81,833.467,0.99295,0.77692,1.24665,0.78367,0.8,0.86422,0.63425,1.20306,1.05838,1.15385,0.000151258,0.000151258,0.000151258
82,844.192,0.96961,0.75727,1.20013,0.78367,0.8,0.86422,0.63425,1.20306,1.05838,1.15385,0.000145859,0.000145859,0.000145859
83,853.81,1.08457,0.89437,1.31723,0.78367,0.8,0.86422,0.63425,1.20306,1.05838,1.15385,0.000140281,0.000140281,0.000140281
84,866.196,0.88773,0.70749,1.19837,0.78506,0.8,0.8413,0.65032,1.1254,1.14189,1.12349,0.000134522,0.000134522,0.000134522
85,876.799,0.93645,0.71431,1.18306,0.78506,0.8,0.8413,0.65032,1.1254,1.14189,1.12349,0.000128584,0.000128584,0.000128584
86,886.544,0.98777,0.79832,1.26803,0.78506,0.8,0.8413,0.65032,1.1254,1.14189,1.12349,0.000122465,0.000122465,0.000122465
87,896.777,1.01608,0.79444,1.25291,0.78506,0.8,0.8413,0.65032,1.1254,1.14189,1.12349,0.000116167,0.000116167,0.000116167
88,907.934,0.90004,0.67479,1.13278,0.77998,0.8,0.82231,0.61626,1.11841,1.19439,1.13549,0.000109688,0.000109688,0.000109688
89,919.529,0.99436,0.76451,1.27756,0.77998,0.8,0.82231,0.61626,1.11841,1.19439,1.13549,0.00010303,0.00010303,0.00010303
90,930.814,0.9385,0.74703,1.22099,0.77998,0.8,0.82231,0.61626,1.11841,1.19439,1.13549,9.61913e-05,9.61913e-05,9.61913e-05
91,938.331,0.94819,0.85328,1.18243,0.77998,0.8,0.82231,0.61626,1.11841,1.19439,1.13549,8.91729e-05,8.91729e-05,8.91729e-05
92,946.174,0.98946,0.96641,1.21911,0.76549,0.8,0.81586,0.62268,1.16308,1.20594,1.16584,8.19745e-05,8.19745e-05,8.19745e-05
93,953.77,0.94673,0.83532,1.24758,0.76549,0.8,0.81586,0.62268,1.16308,1.20594,1.16584,7.45962e-05,7.45962e-05,7.45962e-05
94,960.461,0.92534,0.82421,1.21678,0.76549,0.8,0.81586,0.62268,1.16308,1.20594,1.16584,6.70378e-05,6.70378e-05,6.70378e-05
95,967.441,0.96251,0.81609,1.24889,0.76549,0.8,0.81586,0.62268,1.16308,1.20594,1.16584,5.92995e-05,5.92995e-05,5.92995e-05
96,975.004,0.93927,0.77627,1.25108,0.75337,0.8,0.81165,0.61521,1.23201,1.2146,1.20079,5.13812e-05,5.13812e-05,5.13812e-05
97,981.965,0.89901,0.76057,1.18568,0.75337,0.8,0.81165,0.61521,1.23201,1.2146,1.20079,4.32829e-05,4.32829e-05,4.32829e-05
98,989.882,0.94805,0.76363,1.22314,0.75337,0.8,0.81165,0.61521,1.23201,1.2146,1.20079,3.50047e-05,3.50047e-05,3.50047e-05
99,997.22,0.90459,0.79799,1.20611,0.75337,0.8,0.81165,0.61521,1.23201,1.2146,1.20079,2.65464e-05,2.65464e-05,2.65464e-05
100,1005.19,0.91184,0.76366,1.22379,0.75005,0.8,0.80774,0.60449,1.26072,1.20931,1.21494,1.79082e-05,1.79082e-05,1.79082e-05
